event_starttime,event_peaktime,event_endtime,boundbox_c1ll,boundbox_c1ur,boundbox_c2ll,boundbox_c2ur,hpc_coord,hpc_bbox,hpc_radius,hv_hpc_x_final,hv_hpc_y_final,hv_labels_formatted,frm_name,obs_observatory,obs_instrument,obs_channelid,frm_url,event_type,fl_peakflux,fl_peakfluxunit
2014-02-20 07:26:00,2014-02-20T07:56:00,2014-02-20 08:25:00,72.5,73.5,-15.5,-14.5,POINT(897.198 -215.973),"POLYGON((892.68 -223.2246,897.39 -225.117,901.59 -208.713,896.862 -206.8104,892.68 -223.2246))",922.8264126762951,887.938722538,-213.9485760575388,{'GOES Class': 'M3.0'},SWPC,GOES,GOES,XRA,http://www.swpc.noaa.gov/,FL,,
2014-02-25 00:44:43,2014-02-25T00:55:07,2014-02-25 01:03:55,-998.4,-844.8,76.8,460.8,POINT(-960 115.2),"POLYGON((-998.4 76.8,-844.8 76.8,-844.8 460.8,-998.4 460.8,-998.4 76.8))",966.8872943626883,-949.69230272953,114.0520022334655,{'Peak Flux': '3537.3 DN/sec/pixel'},Flare Detective - Trigger Module,SDO,AIA,193,http://www.cfa.harvard.edu,FL,3537.29,DN/sec/pixel
2014-02-25 00:47:58,2014-02-25T00:49:58,2014-02-25 00:51:34,-998.4,-921.6,76.8,230.4,POINT(-960 115.2),"POLYGON((-998.4 76.8,-921.6 76.8,-921.6 230.4,-998.4 230.4,-998.4 76.8))",966.8872943626883,-949.7353156970296,113.9896862583696,{'Peak Flux': '314.6 DN/sec/pixel'},Flare Detective - Trigger Module,SDO,AIA,131,http://www.cfa.harvard.edu,FL,314.617,DN/sec/pixel
2014-02-25 00:41:58,2014-02-25T01:10:22,2014-02-25 02:24:22,-1228.8,-768.0,-460.8,76.8,POINT(-960 -115.2),"POLYGON((-1228.8 -460.8,-768 -460.8,-768 76.8,-1228.8 76.8,-1228.8 -460.8))",966.8872943626883,-949.6879408310028,-113.83630502465992,{'Peak Flux': '3308.7 DN/sec/pixel'},Flare Detective - Trigger Module,SDO,AIA,131,http://www.cfa.harvard.edu,FL,3308.7,DN/sec/pixel
2014-02-25 00:42:19,2014-02-25T00:57:31,2014-02-25 03:03:31,-1228.8,-844.8,-460.8,76.8,POINT(-960 -192),"POLYGON((-1228.8 -460.8,-844.8 -460.8,-844.8 76.8,-1228.8 76.8,-1228.8 -460.8))",979.0117466098147,-949.7489368246872,-189.94978736493744,{'Peak Flux': '6094.1 DN/sec/pixel'},Flare Detective - Trigger Module,SDO,AIA,193,http://www.cfa.harvard.edu,FL,6094.12,DN/sec/pixel
2014-02-25 00:42:36,2014-02-25T01:04:24,2014-02-25 02:20:36,-1228.8,-844.8,-384.0,0.0,POINT(-960 -192),"POLYGON((-1228.8 -384,-844.8 -384,-844.8 0,-1228.8 0,-1228.8 -384))",979.0117466098147,-949.7489368246872,-189.94978736493744,{'Peak Flux': '2959.6 DN/sec/pixel'},Flare Detective - Trigger Module,SDO,AIA,171,http://www.cfa.harvard.edu,FL,2959.58,DN/sec/pixel
2014-02-25 00:42:56,2014-02-25T00:45:08,2014-02-25 01:31:08,-1152.0,-844.8,-307.2,-76.8,POINT(-960 -192),"POLYGON((-1152 -307.2,-844.8 -307.2,-844.8 -76.8,-1152 -76.8,-1152 -307.2))",979.0117466098147,-949.7489368246872,-189.94978736493744,{'Peak Flux': '1025.3 DN/sec/pixel'},Flare Detective - Trigger Module,SDO,AIA,304,http://www.cfa.harvard.edu,FL,1025.31,DN/sec/pixel
2014-02-25 00:43:02,2014-02-25T01:04:26,2014-02-25 02:01:26,-998.4,-844.8,-307.2,-76.8,POINT(-960 -192),"POLYGON((-998.4 -307.2,-844.8 -307.2,-844.8 -76.8,-998.4 -76.8,-998.4 -307.2))",979.0117466098147,-949.7489368246872,-189.94978736493744,{'Peak Flux': '1628.6 DN/sec/pixel'},Flare Detective - Trigger Module,SDO,AIA,94,http://www.cfa.harvard.edu,FL,1628.57,DN/sec/pixel
2014-02-25 00:43:13,2014-02-25T01:18:25,2014-02-25 02:21:25,-1228.8,-844.8,-307.2,0.0,POINT(-883.2 -192),"POLYGON((-1228.8 -307.2,-844.8 -307.2,-844.8 0,-1228.8 0,-1228.8 -307.2))",903.8286563281782,-873.4714518840415,-189.8493538379564,{'Peak Flux': '2452.6 DN/sec/pixel'},Flare Detective - Trigger Module,SDO,AIA,211,http://www.cfa.harvard.edu,FL,2452.56,DN/sec/pixel
2014-02-25 00:43:28,2014-02-25T01:01:16,2014-02-25 01:57:28,-1152.0,-844.8,-307.2,-76.8,POINT(-960 -192),"POLYGON((-1152 -307.2,-844.8 -307.2,-844.8 -76.8,-1152 -76.8,-1152 -307.2))",979.0117466098147,-949.7489368246872,-189.94978736493744,{'Peak Flux': '367.3 DN/sec/pixel'},Flare Detective - Trigger Module,SDO,AIA,335,http://www.cfa.harvard.edu,FL,367.328,DN/sec/pixel
2014-02-25 00:39:00,2014-02-25T00:49:00,2014-02-25 01:03:00,-82.5,-81.5,-12.5,-11.5,POINT(-939.126 -183.5922),"POLYGON((-938.424 -192.8388,-936.204 -190.8186,-939.672 -174.3288,-941.91 -176.358,-938.424 -192.8388))",956.9032029295546,-928.8887823450854,-181.4471154308836,{'GOES Class': 'X4.9'},SWPC,GOES,GOES,XRA,http://www.swpc.noaa.gov/,FL,,
2014-02-25 00:40:03,2014-02-25T00:48:27,2014-02-25 01:50:03,-1216.0,-728.0,-498.0,70.0,POINT(-972 -214),"POLYGON((-1216 -498,-728 -498,-728 70,-1216 70,-1216 -498))",995.2788553968179,-961.620798534996,-211.71486716716987,[],cheung,SDO,HEK,FL,,FL,,
2014-02-25 00:40:03,2014-02-25T00:48:27,2014-02-25 01:50:03,-1216.0,-728.0,-498.0,70.0,POINT(-972 -214),"POLYGON((-1216 -498,-728 -498,-728 70,-1216 70,-1216 -498))",995.2788553968179,-961.620798534996,-211.71486716716987,[],cheung,SDO,AIA,193,,FL,,
