jsoc_start_time,pre_flare_start_time,event_starttime,event_peaktime,event_endtime,post_flare_end_time,jsoc_end_time,boundbox_c1ll,boundbox_c1ur,boundbox_c2ll,boundbox_c2ur,hpc_coord,hpc_bbox,hpc_radius,hv_hpc_x_final,hv_hpc_y_final,hv_labels_formatted,frm_name,obs_observatory,obs_instrument,obs_channelid,frm_url,event_type,fl_peakflux,fl_peakfluxunit,duration,recordset
2014-01-07 15:07:00,2014-01-07 15:07:34,2014-01-07 18:05:34,2014-01-07T18:34:46,2014-01-07 19:48:58,2014-01-07 22:46:58,2014-01-07 22:46:00,76.8,384.0,-230.4,-76.8,POINT(268.8 -115.2),"POLYGON((76.8 -230.4,384 -230.4,384 -76.8,76.8 -76.8,76.8 -230.4))",292.44568726517406,268.18090447417364,-113.3198063236936,{'Peak Flux': '3004.5 DN/sec/pixel'},Flare Detective - Trigger Module,SDO,AIA,131,http://www.cfa.harvard.edu,FL,3004.52,DN/sec/pixel,459.0,aia.lev1_euv_12s[2014-01-07T15:07:00/459m][131]
2014-02-20 04:25:00,2014-02-20 04:25:58,2014-02-20 07:23:58,2014-02-20T08:03:58,2014-02-20 09:09:58,2014-02-20 12:07:58,2014-02-20 12:07:00,844.8,998.4,-384.0,-76.8,POINT(883.2 -192),"POLYGON((844.8 -384,998.4 -384,998.4 -76.8,844.8 -76.8,844.8 -384))",903.8286563281782,874.4761479455933,-190.2841310464962,{'Peak Flux': '1589.2 DN/sec/pixel'},Flare Detective - Trigger Module,SDO,AIA,131,http://www.cfa.harvard.edu,FL,1589.18,DN/sec/pixel,462.0,aia.lev1_euv_12s[2014-02-20T04:25:00/462m][131]
2014-02-24 21:43:00,2014-02-24 21:43:58,2014-02-25 00:41:58,2014-02-25T01:10:22,2014-02-25 02:24:22,2014-02-25 05:22:22,2014-02-25 05:22:00,-1228.8,-768.0,-460.8,76.8,POINT(-960 -115.2),"POLYGON((-1228.8 -460.8,-768 -460.8,-768 76.8,-1228.8 76.8,-1228.8 -460.8))",966.8872943626884,-949.6879408310028,-113.83630502465992,{'Peak Flux': '3308.7 DN/sec/pixel'},Flare Detective - Trigger Module,SDO,AIA,131,http://www.cfa.harvard.edu,FL,3308.7,DN/sec/pixel,459.0,aia.lev1_euv_12s[2014-02-24T21:43:00/459m][131]
2014-04-18 09:36:00,2014-04-18 09:36:22,2014-04-18 12:34:22,2014-04-18T13:05:58,2014-04-18 14:03:46,2014-04-18 17:01:46,2014-04-18 17:01:00,384.0,614.4,-384.0,-76.8,POINT(499.2 -268.8),"POLYGON((384 -384,614.4 -384,614.4 -76.8,384 -76.8,384 -384))",566.9692055129625,504.3186320770368,-269.97001279154387,{'Peak Flux': '2350.6 DN/sec/pixel'},Flare Detective - Trigger Module,SDO,AIA,131,http://www.cfa.harvard.edu,FL,2350.62,DN/sec/pixel,445.0,aia.lev1_euv_12s[2014-04-18T09:36:00/445m][131]
2014-09-10 14:00:00,2014-09-10 14:00:10,2014-09-10 16:58:10,2014-09-10T17:46:22,2014-09-10 20:10:22,2014-09-10 23:08:22,2014-09-10 23:08:00,-230.4,76.8,0.0,230.4,POINT(-115.2 115.2),"POLYGON((-230.4 0,76.8 0,76.8 230.4,-230.4 230.4,-230.4 0))",162.91740238538054,-109.09457757505125,115.9441657257414,{'Peak Flux': '3782.7 DN/sec/pixel'},Flare Detective - Trigger Module,SDO,AIA,131,http://www.cfa.harvard.edu,FL,3782.66,DN/sec/pixel,548.0,aia.lev1_euv_12s[2014-09-10T14:00:00/548m][131]
