hhmm,count,place,chosen_index,chosen_file
0750,4,"[131, 132, 133, 134]",134,aia.lev1_euv_12s.2014-02-20T075046Z.131.image_lev1.fits
0751,6,"[135, 136, 137, 138, 139, 140]",138,aia.lev1_euv_12s.2014-02-20T075134Z.131.image_lev1.fits
0752,4,"[141, 142, 143, 144]",142,aia.lev1_euv_12s.2014-02-20T075222Z.131.image_lev1.fits
0753,6,"[145, 146, 147, 148, 149, 150]",145,aia.lev1_euv_12s.2014-02-20T075300Z.131.image_lev1.fits
0754,4,"[151, 152, 153, 154]",154,aia.lev1_euv_12s.2014-02-20T075446Z.131.image_lev1.fits
0755,6,"[155, 156, 157, 158, 159, 160]",157,aia.lev1_euv_12s.2014-02-20T075524Z.131.image_lev1.fits
0756,4,"[161, 162, 163, 164]",162,aia.lev1_euv_12s.2014-02-20T075622Z.131.image_lev1.fits
0757,6,"[165, 166, 167, 168, 169, 170]",169,aia.lev1_euv_12s.2014-02-20T075748Z.131.image_lev1.fits
0758,4,"[171, 172, 173, 174]",174,aia.lev1_euv_12s.2014-02-20T075846Z.131.image_lev1.fits
0759,6,"[175, 176, 177, 178, 179, 180]",175,aia.lev1_euv_12s.2014-02-20T075900Z.131.image_lev1.fits
0800,4,"[181, 182, 183, 184]",181,aia.lev1_euv_12s.2014-02-20T080012Z.131.image_lev1.fits
0801,6,"[185, 186, 187, 188, 189, 190]",188,aia.lev1_euv_12s.2014-02-20T080134Z.131.image_lev1.fits
0802,4,"[191, 192, 193, 194]",193,aia.lev1_euv_12s.2014-02-20T080236Z.131.image_lev1.fits
0803,6,"[195, 196, 197, 198, 199, 200]",198,aia.lev1_euv_12s.2014-02-20T080334Z.131.image_lev1.fits
0804,4,"[201, 202, 203, 204]",203,aia.lev1_euv_12s.2014-02-20T080436Z.131.image_lev1.fits
0805,6,"[205, 206, 207, 208, 209, 210]",210,aia.lev1_euv_12s.2014-02-20T080558Z.131.image_lev1.fits
0806,4,"[211, 212, 213, 214]",212,aia.lev1_euv_12s.2014-02-20T080622Z.131.image_lev1.fits
0807,6,"[215, 216, 217, 218, 219, 220]",215,aia.lev1_euv_12s.2014-02-20T080700Z.131.image_lev1.fits
0808,4,"[221, 222, 223, 224]",224,aia.lev1_euv_12s.2014-02-20T080846Z.131.image_lev1.fits
0809,6,"[225, 226, 227, 228, 229, 230]",229,aia.lev1_euv_12s.2014-02-20T080948Z.131.image_lev1.fits
0810,4,"[231, 232, 233, 234]",234,aia.lev1_euv_12s.2014-02-20T081046Z.131.image_lev1.fits
0811,6,"[235, 236, 237, 238, 239, 240]",237,aia.lev1_euv_12s.2014-02-20T081124Z.131.image_lev1.fits
0812,4,"[241, 242, 243, 244]",244,aia.lev1_euv_12s.2014-02-20T081246Z.131.image_lev1.fits
0813,6,"[245, 246, 247, 248, 249, 250]",246,aia.lev1_euv_12s.2014-02-20T081310Z.131.image_lev1.fits
0814,4,"[251, 252, 253, 254]",253,aia.lev1_euv_12s.2014-02-20T081436Z.131.image_lev1.fits
0815,6,"[255, 256, 257, 258, 259, 260]",258,aia.lev1_euv_12s.2014-02-20T081534Z.131.image_lev1.fits
0816,4,"[261, 262, 263, 264]",263,aia.lev1_euv_12s.2014-02-20T081636Z.131.image_lev1.fits
0817,6,"[265, 266, 267, 268, 269, 270]",265,aia.lev1_euv_12s.2014-02-20T081700Z.131.image_lev1.fits
0818,4,"[271, 272, 273, 274]",271,aia.lev1_euv_12s.2014-02-20T081811Z.131.image_lev1.fits
0819,6,"[275, 276, 277, 278, 279, 280]",276,aia.lev1_euv_12s.2014-02-20T081910Z.131.image_lev1.fits
0820,5,"[281, 282, 283, 284, 285]",283,aia.lev1_euv_12s.2014-02-20T082036Z.131.image_lev1.fits
0821,5,"[286, 287, 288, 289, 290]",288,aia.lev1_euv_12s.2014-02-20T082134Z.131.image_lev1.fits
0822,4,"[291, 292, 293, 294]",294,aia.lev1_euv_12s.2014-02-20T082246Z.131.image_lev1.fits
0823,6,"[295, 296, 297, 298, 299, 300]",297,aia.lev1_euv_12s.2014-02-20T082324Z.131.image_lev1.fits
0824,5,"[301, 302, 303, 304, 305]",303,aia.lev1_euv_12s.2014-02-20T082435Z.131.image_lev1.fits
0825,5,"[306, 307, 308, 309, 310]",309,aia.lev1_euv_12s.2014-02-20T082548Z.131.image_lev1.fits
0826,4,"[311, 312, 313, 314]",314,aia.lev1_euv_12s.2014-02-20T082646Z.131.image_lev1.fits
0827,6,"[315, 316, 317, 318, 319, 320]",320,aia.lev1_euv_12s.2014-02-20T082758Z.131.image_lev1.fits
0828,5,"[321, 322, 323, 324, 325]",325,aia.lev1_euv_12s.2014-02-20T082858Z.131.image_lev1.fits
0829,5,"[326, 327, 328, 329, 330]",328,aia.lev1_euv_12s.2014-02-20T082934Z.131.image_lev1.fits
0830,5,"[331, 332, 333, 334, 335]",332,aia.lev1_euv_12s.2014-02-20T083022Z.131.image_lev1.fits
0831,5,"[336, 337, 338, 339, 340]",336,aia.lev1_euv_12s.2014-02-20T083110Z.131.image_lev1.fits
0832,5,"[341, 342, 343, 344, 345]",344,aia.lev1_euv_12s.2014-02-20T083246Z.131.image_lev1.fits
0833,5,"[346, 347, 348, 349, 350]",350,aia.lev1_euv_12s.2014-02-20T083358Z.131.image_lev1.fits
0834,5,"[351, 352, 353, 354, 355]",351,aia.lev1_euv_12s.2014-02-20T083410Z.131.image_lev1.fits
0835,5,"[356, 357, 358, 359, 360]",356,aia.lev1_euv_12s.2014-02-20T083510Z.131.image_lev1.fits
0836,5,"[361, 362, 363, 364, 365]",363,aia.lev1_euv_12s.2014-02-20T083634Z.131.image_lev1.fits
0837,5,"[366, 367, 368, 369, 370]",370,aia.lev1_euv_12s.2014-02-20T083758Z.131.image_lev1.fits
0838,5,"[371, 372, 373, 374, 375]",372,aia.lev1_euv_12s.2014-02-20T083822Z.131.image_lev1.fits
0839,5,"[376, 377, 378, 379, 380]",378,aia.lev1_euv_12s.2014-02-20T083934Z.131.image_lev1.fits
0840,5,"[381, 382, 383, 384, 385]",381,aia.lev1_euv_12s.2014-02-20T084010Z.131.image_lev1.fits
0841,5,"[386, 387, 388, 389, 390]",389,aia.lev1_euv_12s.2014-02-20T084146Z.131.image_lev1.fits
0842,5,"[391, 392, 393, 394, 395]",394,aia.lev1_euv_12s.2014-02-20T084246Z.131.image_lev1.fits
0843,5,"[396, 397, 398, 399, 400]",399,aia.lev1_euv_12s.2014-02-20T084346Z.131.image_lev1.fits
0844,5,"[401, 402, 403, 404, 405]",401,aia.lev1_euv_12s.2014-02-20T084410Z.131.image_lev1.fits
0845,5,"[406, 407, 408, 409, 410]",409,aia.lev1_euv_12s.2014-02-20T084546Z.131.image_lev1.fits
0846,5,"[411, 412, 413, 414, 415]",415,aia.lev1_euv_12s.2014-02-20T084658Z.131.image_lev1.fits
0847,5,"[416, 417, 418, 419, 420]",420,aia.lev1_euv_12s.2014-02-20T084758Z.131.image_lev1.fits
0848,5,"[421, 422, 423, 424, 425]",423,aia.lev1_euv_12s.2014-02-20T084834Z.131.image_lev1.fits
0849,5,"[426, 427, 428, 429, 430]",429,aia.lev1_euv_12s.2014-02-20T084946Z.131.image_lev1.fits
0850,5,"[431, 432, 433, 434, 435]",431,aia.lev1_euv_12s.2014-02-20T085010Z.131.image_lev1.fits
0851,5,"[436, 437, 438, 439, 440]",437,aia.lev1_euv_12s.2014-02-20T085122Z.131.image_lev1.fits
0852,5,"[441, 442, 443, 444, 445]",445,aia.lev1_euv_12s.2014-02-20T085258Z.131.image_lev1.fits
0853,5,"[446, 447, 448, 449, 450]",446,aia.lev1_euv_12s.2014-02-20T085310Z.131.image_lev1.fits
0854,5,"[451, 452, 453, 454, 455]",451,aia.lev1_euv_12s.2014-02-20T085410Z.131.image_lev1.fits
0855,5,"[456, 457, 458, 459, 460]",456,aia.lev1_euv_12s.2014-02-20T085510Z.131.image_lev1.fits
0856,5,"[461, 462, 463, 464, 465]",464,aia.lev1_euv_12s.2014-02-20T085646Z.131.image_lev1.fits
0857,5,"[466, 467, 468, 469, 470]",466,aia.lev1_euv_12s.2014-02-20T085710Z.131.image_lev1.fits
0858,5,"[471, 472, 473, 474, 475]",472,aia.lev1_euv_12s.2014-02-20T085822Z.131.image_lev1.fits
0859,5,"[476, 477, 478, 479, 480]",477,aia.lev1_euv_12s.2014-02-20T085922Z.131.image_lev1.fits
0900,5,"[481, 482, 483, 484, 485]",482,aia.lev1_euv_12s.2014-02-20T090022Z.131.image_lev1.fits
0901,5,"[486, 487, 488, 489, 490]",487,aia.lev1_euv_12s.2014-02-20T090122Z.131.image_lev1.fits
0902,5,"[491, 492, 493, 494, 495]",491,aia.lev1_euv_12s.2014-02-20T090210Z.131.image_lev1.fits
0903,5,"[496, 497, 498, 499, 500]",497,aia.lev1_euv_12s.2014-02-20T090322Z.131.image_lev1.fits
0904,5,"[501, 502, 503, 504, 505]",504,aia.lev1_euv_12s.2014-02-20T090446Z.131.image_lev1.fits
0905,5,"[506, 507, 508, 509, 510]",510,aia.lev1_euv_12s.2014-02-20T090558Z.131.image_lev1.fits
0906,5,"[511, 512, 513, 514, 515]",515,aia.lev1_euv_12s.2014-02-20T090658Z.131.image_lev1.fits
0907,5,"[516, 517, 518, 519, 520]",517,aia.lev1_euv_12s.2014-02-20T090722Z.131.image_lev1.fits
0908,5,"[521, 522, 523, 524, 525]",522,aia.lev1_euv_12s.2014-02-20T090822Z.131.image_lev1.fits
0909,5,"[526, 527, 528, 529, 530]",530,aia.lev1_euv_12s.2014-02-20T090958Z.131.image_lev1.fits
