hhmm,count,place,chosen_index,chosen_file
0723,1,[0],0,aia.lev1_euv_12s.2014-02-20T072358Z.131.image_lev1.fits
0724,5,"[1, 2, 3, 4, 5]",3,aia.lev1_euv_12s.2014-02-20T072434Z.131.image_lev1.fits
0725,5,"[6, 7, 8, 9, 10]",10,aia.lev1_euv_12s.2014-02-20T072558Z.131.image_lev1.fits
0726,5,"[11, 12, 13, 14, 15]",13,aia.lev1_euv_12s.2014-02-20T072634Z.131.image_lev1.fits
0727,5,"[16, 17, 18, 19, 20]",16,aia.lev1_euv_12s.2014-02-20T072710Z.131.image_lev1.fits
0728,5,"[21, 22, 23, 24, 25]",23,aia.lev1_euv_12s.2014-02-20T072834Z.131.image_lev1.fits
0729,5,"[26, 27, 28, 29, 30]",27,aia.lev1_euv_12s.2014-02-20T072922Z.131.image_lev1.fits
0730,5,"[31, 32, 33, 34, 35]",32,aia.lev1_euv_12s.2014-02-20T073022Z.131.image_lev1.fits
0731,5,"[36, 37, 38, 39, 40]",38,aia.lev1_euv_12s.2014-02-20T073134Z.131.image_lev1.fits
0732,5,"[41, 42, 43, 44, 45]",45,aia.lev1_euv_12s.2014-02-20T073258Z.131.image_lev1.fits
0733,5,"[46, 47, 48, 49, 50]",50,aia.lev1_euv_12s.2014-02-20T073358Z.131.image_lev1.fits
0734,5,"[51, 52, 53, 54, 55]",53,aia.lev1_euv_12s.2014-02-20T073434Z.131.image_lev1.fits
0735,5,"[56, 57, 58, 59, 60]",59,aia.lev1_euv_12s.2014-02-20T073546Z.131.image_lev1.fits
0736,5,"[61, 62, 63, 64, 65]",64,aia.lev1_euv_12s.2014-02-20T073646Z.131.image_lev1.fits
0737,5,"[66, 67, 68, 69, 70]",66,aia.lev1_euv_12s.2014-02-20T073710Z.131.image_lev1.fits
0738,5,"[71, 72, 73, 74, 75]",73,aia.lev1_euv_12s.2014-02-20T073834Z.131.image_lev1.fits
0739,5,"[76, 77, 78, 79, 80]",76,aia.lev1_euv_12s.2014-02-20T073910Z.131.image_lev1.fits
0740,5,"[81, 82, 83, 84, 85]",85,aia.lev1_euv_12s.2014-02-20T074058Z.131.image_lev1.fits
0741,5,"[86, 87, 88, 89, 90]",86,aia.lev1_euv_12s.2014-02-20T074110Z.131.image_lev1.fits
0742,5,"[91, 92, 93, 94, 95]",95,aia.lev1_euv_12s.2014-02-20T074258Z.131.image_lev1.fits
0743,5,"[96, 97, 98, 99, 100]",99,aia.lev1_euv_12s.2014-02-20T074346Z.131.image_lev1.fits
0744,4,"[101, 102, 103, 104]",103,aia.lev1_euv_12s.2014-02-20T074436Z.131.image_lev1.fits
0745,6,"[105, 106, 107, 108, 109, 110]",106,aia.lev1_euv_12s.2014-02-20T074510Z.131.image_lev1.fits
0746,5,"[111, 112, 113, 114, 115]",111,aia.lev1_euv_12s.2014-02-20T074612Z.131.image_lev1.fits
0747,5,"[116, 117, 118, 119, 120]",116,aia.lev1_euv_12s.2014-02-20T074710Z.131.image_lev1.fits
0748,4,"[121, 122, 123, 124]",123,aia.lev1_euv_12s.2014-02-20T074836Z.131.image_lev1.fits
0749,6,"[125, 126, 127, 128, 129, 130]",130,aia.lev1_euv_12s.2014-02-20T074958Z.131.image_lev1.fits
